,delta_auc
vix_change_roll4_stability,0.031610486891385785
vix_change_lag2,0.014057428214731604
vix_change_roll4_lag_std,0.011985018726591783
sp500_ret_roll12_stability,0.011826883062838123
google_sentiment_7d_std,0.0063087806908031785
VIX_Norm,0.004852267998335413
vix_change_roll8_stability,0.004694132334581769
vix_change_roll8_lag_std,0.0037869330004161816
Google_Sentiment_Index,0.003179359134415349
Unemployment,0.0025384935497294813
Mood_Index,0.0008156471077819472
sp500_ret_roll8_lag_std,0.00018310445276739084
sp500_ret_roll12_lag_std,4.161464835621409e-05
sp500_returns_lag1,2.4968789013735114e-05
sp500_ret_roll4_lag_std,2.4968789013724015e-05
sp500_ret_roll12_lag_mean,0.0
sp500_ret_roll4_lag_mean,-4.993757802745913e-05
sp500_returns_5d_volatility,-0.00011652101539743054
Google_Norm,-0.00014148980441116565
Unemp_Norm,-0.00018310445276736864
