feature,mean_abs_shap
vix_change_roll4_stability,0.17392638119651535
sp500_ret_roll4_stability,0.07842290405847789
Google_Sentiment_Index,0.06380045031489294
vix_change_lag1,0.06018039476046978
vix_change_roll4_lag_std,0.050970242487183515
vix_change_lag2,0.03538503400935737
sp500_ret_roll8_stability,0.031038327242657097
sp500_ret_roll12_stability,0.02969359534363886
google_sentiment_7d_mean,0.028757084921740384
Unemployment,0.027491383326925974
google_sentiment_7d_std,0.024274010187774777
vix_change_roll12_lag_std,0.022196624666053367
sentiment_vol_interaction,0.013060337198383154
vix_change_roll12_stability,0.012338516073370456
vix_change_roll8_lag_mean,0.011836769971472353
VIX_Norm,0.011435867183859255
vix_change_roll4_lag_mean,0.009024812913843456
vix_change_roll8_stability,0.007218837490171054
vix_change_roll8_lag_std,0.007100076428194615
Mood_Index,0.004484238910843951
sp500_ret_roll4_lag_mean,0.0007189058375446972
Unemp_Norm,0.0006897908978983777
sp500_returns_lag2,0.00037276566963111943
sp500_ret_roll8_lag_std,0.00032700956112842694
vix_change_roll12_lag_mean,0.0003131559387512746
sp500_ret_roll8_lag_mean,0.00027442562379545075
sp500_ret_roll4_lag_std,0.00026083252319695306
sp500_ret_roll12_lag_std,0.00023898998376241446
sp500_returns_lag1,0.00023381384988523392
sp500_ret_roll12_lag_mean,0.00017267570735580775
sp500_returns_5d_volatility,0.00015260521326098168
Google_Norm,9.392655691091034e-05
